title,link,author,rating
"City of Ashes (The Mortal Instruments, #2)",https://www.goodreads.com/book/show/1582996.City_of_Ashes,Cassandra Clare,4.12
Circe (Hardcover),https://www.goodreads.com/book/show/35959740-circe,Madeline Miller,4.25
"Eldest (The Inheritance Cycle, #2)",https://www.goodreads.com/book/show/45978.Eldest,Christopher Paolini,4.02
"Eclipse (The Twilight Saga, #3)",https://www.goodreads.com/book/show/428263.Eclipse,Stephenie Meyer,"avg rating 3.72 — 1,713,829 ratings — published 2007"
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,Ransom Riggs,"avg rating 3.92 — 1,204,618 ratings — published 2011"
"The Amber Spyglass (His Dark Materials, #3)",https://www.goodreads.com/book/show/18122.The_Amber_Spyglass,Philip Pullman,"avg rating 4.10 — 347,932 ratings — published 2000"
The House in the Cerulean Sea (Kindle Edition),https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,T.J. Klune,4.43
"The Poppy War (The Poppy War, #1)",https://www.goodreads.com/book/show/35068705-the-poppy-war,R.F. Kuang,4.17
"The Thief (The Queen's Thief, #1)",https://www.goodreads.com/book/show/448873.The_Thief,Megan Whalen Turner,3.86
"Breaking Dawn (The Twilight Saga, #4)",https://www.goodreads.com/book/show/1162543.Breaking_Dawn,Stephenie Meyer,"avg rating 3.73 — 1,615,054 ratings — published 2008"
"An Ember in the Ashes (An Ember in the Ashes, #1)",https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes,Sabaa Tahir,4.26
The Graveyard Book (Hardcover),https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,Neil Gaiman,4.15
"City of Glass (The Mortal Instruments, #3)",https://www.goodreads.com/book/show/3777732-city-of-glass,Cassandra Clare,4.28
"The Blade Itself (The First Law, #1)",https://www.goodreads.com/book/show/944073.The_Blade_Itself,Joe Abercrombie,"avg rating 4.20 — 222,250 ratings — published 2006"
"Prince Caspian (Chronicles of Narnia, #2)",https://www.goodreads.com/book/show/121749.Prince_Caspian,C.S. Lewis,"avg rating 3.98 — 416,123 ratings — published 1951"
"Queen of Shadows (Throne of Glass, #4)",https://www.goodreads.com/book/show/76707900-queen-of-shadows,Sarah J. Maas,4.57
"Clockwork Angel (The Infernal Devices, #1)",https://www.goodreads.com/book/show/7171637-clockwork-angel,Cassandra Clare,4.32
"The Great Hunt (The Wheel of Time, #2)",https://www.goodreads.com/book/show/233649.The_Great_Hunt,Robert Jordan,"avg rating 4.26 — 296,616 ratings — published 1990"
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone,Laini Taylor,3.99
"The Queen of Nothing (The Folk of the Air, #3)",https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,Holly Black,4.37
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader,C.S. Lewis,"avg rating 4.09 — 451,441 ratings — published 1952"
"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Madeleine L'Engle,"avg rating 3.99 — 1,159,730 ratings — published 1962"
"The Priory of the Orange Tree (The Roots of Chaos, #1)",https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree,Samantha Shannon,4.23
"The Bear and the Nightingale (The Winternight Trilogy, #1)",https://www.goodreads.com/book/show/25489134-the-bear-and-the-nightingale,Katherine Arden,4.1
The Tales of Beedle the Bard (Hardcover),https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,J.K. Rowling,"avg rating 4.04 — 472,483 ratings — published 2008"
"The Gunslinger (The Dark Tower, #1)",https://www.goodreads.com/book/show/43615.The_Gunslinger,Stephen King,3.93
"Caraval (Caraval, #1)",https://www.goodreads.com/book/show/27883214-caraval,Stephanie Garber,4.0
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,C.S. Lewis,"avg rating 4.27 — 620,730 ratings — published 1956"
"The Horse and His Boy (Chronicles of Narnia, #5)",https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy,C.S. Lewis,"avg rating 3.91 — 332,367 ratings — published 1954"
"Brisingr (The Inheritance Cycle, #3)",https://www.goodreads.com/book/show/2248573.Brisingr,Christopher Paolini,4.08
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,Sarah J. Maas,3.79
Jonathan Strange & Mr Norrell (Paperback),https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,Susanna Clarke,"avg rating 3.85 — 228,391 ratings — published 2004"
"The Raven Boys (The Raven Cycle, #1)",https://www.goodreads.com/book/show/17675462-the-raven-boys,Maggie Stiefvater,4.05
