title,link,author,rating,genres
The Extraordinary Adventures of the Athena Club,https://www.goodreads.com/book/show/34728925-the-strange-case-of-the-alchemist-s-daughter,Theodora Goss,3.82,"['mystery', 'historical-fiction', 'historical', 'young-adult', 'science-fiction']"
The Conqueror's Saga,https://www.goodreads.com/book/show/27190613-and-i-darken,Kiersten White,3.82,"['historical-fiction', 'young-adult', 'historical', 'romance', 'retellings']"
Ariadne ,https://www.goodreads.com/book/show/54860614-ariadne,Jennifer Saint,3.82,"['mythology', 'greek-mythology', 'historical-fiction', 'retellings', 'historical']"
Quidditch Through the Ages ,https://www.goodreads.com/book/show/111450.Quidditch_Through_the_Ages,Kennilworthy Whisp,3.81,"['young-adult', 'childrens', 'magic', 'middle-grade']"
The Prince of Nothing,https://www.goodreads.com/book/show/301538.The_Darkness_That_Comes_Before,R. Scott Bakker,3.81,"['epic-fantasy', 'dark-fantasy', 'high-fantasy', 'science-fiction-fantasy', 'philosophy']"
Bethel,https://www.goodreads.com/book/show/49789629-the-year-of-the-witching,Alexis Henderson,3.81,"['horror', 'historical-fiction', 'witches', 'paranormal', 'young-adult']"
Crave,https://www.goodreads.com/book/show/45892228-crave,Tracy Wolff,3.81,"['romance', 'young-adult', 'paranormal', 'vampires']"
Empirium,https://www.goodreads.com/book/show/34323570-furyborn,Claire Legrand,3.81,"['young-adult', 'young-adult-fantasy', 'romance', 'high-fantasy', 'magic']"
Chronicles of Elantra,https://www.goodreads.com/book/show/9542.Cast_in_Shadow,Michelle Sagara,3.8,"['urban-fantasy', 'magic', 'dragons', 'paranormal', 'mystery']"
The Dagger and the Coin,https://www.goodreads.com/book/show/8752885-the-dragon-s-path,Daniel Abraham,3.8,"['epic-fantasy', 'high-fantasy', 'dragons', 'science-fiction-fantasy', 'epic']"
The Keys to the Kingdom,https://www.goodreads.com/book/show/47613.Mister_Monday,Garth Nix,3.8,"['young-adult', 'middle-grade', 'adventure', 'childrens', 'magic']"
The Ghost Bride ,https://www.goodreads.com/book/show/16248223-the-ghost-bride,Yangsze Choo,3.8,"['historical-fiction', 'romance', 'historical', 'paranormal', 'ghosts']"
The Odyssey ,https://www.goodreads.com/book/show/1381.The_Odyssey,Homer,3.8,"['classics', 'poetry', 'mythology', 'school', 'literature']"
Everless,https://www.goodreads.com/book/show/32320661-everless,Sara Holland,3.8,"['young-adult', 'young-adult-fantasy', 'romance', 'magic', 'high-fantasy']"
Dorothy Must Die,https://www.goodreads.com/book/show/18053060-dorothy-must-die,Danielle Paige,3.8,"['young-adult', 'retellings', 'magic', 'fairy-tales', 'adventure']"
The Bone Season,https://www.goodreads.com/book/show/17199504-the-bone-season,Samantha Shannon,3.8,"['young-adult', 'dystopia', 'science-fiction', 'paranormal', 'romance']"
