title,link,author,rating
Bone Grace,https://www.goodreads.com/book/show/46249012-bone-crier-s-moon,Kathryn Purdie,3.67
"Girl, Serpent, Thorn ",https://www.goodreads.com/book/show/51182650-girl-serpent-thorn,Melissa Bashardoust,3.67
The Near Witch,https://www.goodreads.com/book/show/6931344-the-near-witch,Victoria Schwab,3.66
An Enchantment of Ravens ,https://www.goodreads.com/book/show/30969741-an-enchantment-of-ravens,Margaret Rogerson,3.65
Cruel Beauty ,https://www.goodreads.com/book/show/15839984-cruel-beauty,Rosamund Hodge,3.65
Fractured Fables,https://www.goodreads.com/book/show/56179356-a-spindle-splintered,Alix E. Harrow,3.64
Incarceron,https://www.goodreads.com/book/show/332775.Incarceron,Catherine Fisher,3.64
The Crescent Moon Kingdoms,https://www.goodreads.com/book/show/11487807-throne-of-the-crescent-moon,Saladin Ahmed,3.64
Wilderwood,https://www.goodreads.com/book/show/53418394-for-the-wolf,Hannah F. Whitten,3.64
Realm Breaker,https://www.goodreads.com/book/show/54513688-realm-breaker,Victoria Aveyard,3.63
Crimson Bound ,https://www.goodreads.com/book/show/21570318-crimson-bound,Rosamund Hodge,3.63
Magic for Liars ,https://www.goodreads.com/book/show/34594037-magic-for-liars,Sarah Gailey,3.63
Ash ,https://www.goodreads.com/book/show/6472451-ash,Malinda Lo,3.63
Matched,https://www.goodreads.com/book/show/7735333-matched,Ally Condie,3.63
Long Price Quartet,https://www.goodreads.com/book/show/208.A_Shadow_in_Summer,Daniel Abraham,3.62
Descendant of the Crane ,https://www.goodreads.com/book/show/58578700-descendant-of-the-crane,Joan He,3.62
Kraken ,https://www.goodreads.com/book/show/6931246-kraken,China MiĂ©ville,3.61
The Immortals,https://www.goodreads.com/book/show/3975774-evermore,Alyson Noel,3.59
All the Birds in the Sky,https://www.goodreads.com/book/show/25372801-all-the-birds-in-the-sky,Charlie Jane Anders,3.59
Gulliver's Travels: Travels into Several Remote Nations of the World. ,https://www.goodreads.com/book/show/7733.Gulliver_s_Travels,Jonathan Swift,3.58
The Hazel Wood,https://www.goodreads.com/book/show/34275232-the-hazel-wood,Melissa Albert,3.57
The Star-Touched Queen,https://www.goodreads.com/book/show/25203675-the-star-touched-queen,Roshani Chokshi,3.56
The Buried Giant ,https://www.goodreads.com/book/show/22522805-the-buried-giant,Kazuo Ishiguro,3.56
Something Dark and Holy,https://www.goodreads.com/book/show/36118682-wicked-saints,Emily A. Duncan,3.56
The Wolf and the Woodsman ,https://www.goodreads.com/book/show/48915408-the-wolf-and-the-woodsman,Ava Reid,3.55
Confessions of an Ugly Stepsister ,https://www.goodreads.com/book/show/18943.Confessions_of_an_Ugly_Stepsister,Gregory Maguire,3.54
The Wicked Years,https://www.goodreads.com/book/show/37442.Wicked,Gregory Maguire,3.54
Book of Night,https://www.goodreads.com/book/show/58293924-book-of-night,Holly Black,3.54
Wintersong,https://www.goodreads.com/book/show/24763621-wintersong,S. Jae-Jones,3.53
The Ex Hex,https://www.goodreads.com/book/show/56554626-the-ex-hex,Erin Sterling,3.52
Soldier Son,https://www.goodreads.com/book/show/45110.Shaman_s_Crossing,Robin Hobb,3.5
Glamourist Histories,https://www.goodreads.com/book/show/8697507-shades-of-milk-and-honey,Mary Robinette Kowal,3.49
Beowulf ,https://www.goodreads.com/book/show/52357.Beowulf,Unknown,3.47
The Dark Star Trilogy,https://www.goodreads.com/book/show/50608676-black-leopard-red-wolf,Marlon James,3.44
