title,link,author,rating
Throne of Glass,https://www.goodreads.com/book/show/76706470-heir-of-fire,Sarah J. Maas,4.46
The Invisible Life of Addie LaRue (Hardcover),https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,V.E. Schwab,"avg rating 4.21 — 870,220 ratings — published 2020"
Chronicles of Narnia,https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew,C.S. Lewis,"avg rating 4.05 — 510,555 ratings — published 1955"
The Twilight Saga,https://www.goodreads.com/book/show/49041.New_Moon,Stephenie Meyer,"avg rating 3.58 — 1,820,981 ratings — published 2006"
The Folk of the Air,https://www.goodreads.com/book/show/26032887-the-wicked-king,Holly Black,4.33
The Mortal Instruments,https://www.goodreads.com/book/show/1582996.City_of_Ashes,Cassandra Clare,4.12
Circe (Hardcover),https://www.goodreads.com/book/show/35959740-circe,Madeline Miller,
The Inheritance Cycle,https://www.goodreads.com/book/show/45978.Eldest,Christopher Paolini,4.02
The Twilight Saga,https://www.goodreads.com/book/show/428263.Eclipse,Stephenie Meyer,"avg rating 3.72 — 1,714,729 ratings — published 2007"
Miss Peregrine's Peculiar Children,https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children,Ransom Riggs,"avg rating 3.92 — 1,205,206 ratings — published 2011"
His Dark Materials,https://www.goodreads.com/book/show/18122.The_Amber_Spyglass,Philip Pullman,"avg rating 4.10 — 348,044 ratings — published 2000"
The House in the Cerulean Sea (Kindle Edition),https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea,T.J. Klune,4.43
The Poppy War,https://www.goodreads.com/book/show/35068705-the-poppy-war,R.F. Kuang,4.17
The Queen's Thief,https://www.goodreads.com/book/show/448873.The_Thief,Megan Whalen Turner,3.86
The Twilight Saga,https://www.goodreads.com/book/show/1162543.Breaking_Dawn,Stephenie Meyer,"avg rating 3.73 — 1,615,917 ratings — published 2008"
An Ember in the Ashes,https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes,Sabaa Tahir,4.26
The Graveyard Book (Hardcover),https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,Neil Gaiman,4.15
The Mortal Instruments,https://www.goodreads.com/book/show/3777732-city-of-glass,Cassandra Clare,4.28
The First Law,https://www.goodreads.com/book/show/944073.The_Blade_Itself,Joe Abercrombie,"avg rating 4.20 — 222,448 ratings — published 2006"
Throne of Glass,https://www.goodreads.com/book/show/76707900-queen-of-shadows,Sarah J. Maas,4.57
Chronicles of Narnia,https://www.goodreads.com/book/show/121749.Prince_Caspian,C.S. Lewis,"avg rating 3.98 — 416,330 ratings — published 1951"
The Infernal Devices,https://www.goodreads.com/book/show/7171637-clockwork-angel,Cassandra Clare,4.32
The Wheel of Time,https://www.goodreads.com/book/show/233649.The_Great_Hunt,Robert Jordan,"avg rating 4.26 — 296,783 ratings — published 1990"
Daughter of Smoke & Bone,https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone,Laini Taylor,3.99
The Folk of the Air,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,Holly Black,4.37
Chronicles of Narnia,https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader,C.S. Lewis,"avg rating 4.09 — 451,617 ratings — published 1952"
Time Quintet,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,Madeleine L'Engle,"avg rating 3.99 — 1,160,219 ratings — published 1962"
The Roots of Chaos,https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree,Samantha Shannon,4.23
The Winternight Trilogy,https://www.goodreads.com/book/show/25489134-the-bear-and-the-nightingale,Katherine Arden,4.1
The Tales of Beedle the Bard (Hardcover),https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,J.K. Rowling,"avg rating 4.04 — 472,616 ratings — published 2008"
The Dark Tower,https://www.goodreads.com/book/show/43615.The_Gunslinger,Stephen King,3.93
Caraval,https://www.goodreads.com/book/show/27883214-caraval,Stephanie Garber,4.0
Chronicles of Narnia,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,C.S. Lewis,"avg rating 4.27 — 621,024 ratings — published 1956"
The Inheritance Cycle,https://www.goodreads.com/book/show/2248573.Brisingr,Christopher Paolini,
A Court of Thorns and Roses,https://www.goodreads.com/book/show/50659471-a-court-of-frost-and-starlight,Sarah J. Maas,3.79
Jonathan Strange & Mr Norrell (Paperback),https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,Susanna Clarke,"avg rating 3.85 — 228,456 ratings — published 2004"
The Raven Cycle,https://www.goodreads.com/book/show/17675462-the-raven-boys,Maggie Stiefvater,4.05
Coraline (Paperback),https://www.goodreads.com/book/show/17061.Coraline,Neil Gaiman,4.1
The Wheel of Time,https://www.goodreads.com/book/show/34897.The_Dragon_Reborn,Robert Jordan,"avg rating 4.27 — 271,975 ratings — published 1991"
Crescent City,https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood,Sarah J. Maas,4.48
Elantris,https://www.goodreads.com/book/show/68427.Elantris,Brandon Sanderson,4.19
The Hunger Games,https://www.goodreads.com/book/show/6148028-catching-fire,Suzanne Collins,"avg rating 4.31 — 3,274,705 ratings — published 2009"
The Lunar Chronicles,https://www.goodreads.com/book/show/36381037-cinder,Marissa Meyer,4.13
The Stormlight Archive,https://www.goodreads.com/book/show/17332218-words-of-radiance,Brandon Sanderson,4.76
The Heroes of Olympus,https://www.goodreads.com/book/show/7736182-the-lost-hero,Rick Riordan,4.31
