title,link,author,rating
Forgotten Realms: The Dark Elf Trilogy,https://www.goodreads.com/book/show/50027.Homeland,R.A. Salvatore,4.26
The Bridge Kingdom,https://www.goodreads.com/book/show/50719471-the-traitor-queen,Danielle L. Jensen,4.26
The Princess Bride ,https://www.goodreads.com/book/show/21787.The_Princess_Bride,William Goldman,4.26
The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones ,https://www.goodreads.com/book/show/17345242-the-world-of-ice-fire,George R.R. Martin,4.26
The Reckoners,https://www.goodreads.com/book/show/15704459-firefight,Brandon Sanderson,4.26
The Drenai Saga,https://www.goodreads.com/book/show/618177.Legend,David Gemmell,4.26
Babel: An Arcane History ,https://www.goodreads.com/book/show/57945316-babel,R.F. Kuang,4.26
Dune,https://www.goodreads.com/book/show/44767458-dune,Frank Herbert,4.26
Nightrunner,https://www.goodreads.com/book/show/74275.Stalking_Darkness,Lynn Flewelling,4.26
The Prison Healer,https://www.goodreads.com/book/show/53968496-the-prison-healer,Lynette Noni,4.26
The Raven Cycle,https://www.goodreads.com/book/show/17378508-blue-lily-lily-blue,Maggie Stiefvater,4.26
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch ",https://www.goodreads.com/book/show/12067.Good_Omens,Terry Pratchett,4.25
The Rithmatist,https://www.goodreads.com/book/show/22443261-the-rithmatist,Brandon Sanderson,4.25
The Land of Stories,https://www.goodreads.com/book/show/11607446-the-wishing-spell,Chris Colfer,4.25
Legends & Lattes,https://www.goodreads.com/book/show/61242426-legends-lattes,Travis Baldree,4.25
Circe ,https://www.goodreads.com/book/show/35959740-circe,Madeline Miller,4.25
The Demon Cycle,https://www.goodreads.com/book/show/3428935-the-warded-man,Peter V. Brett,4.25
The Truth: Stage Adaptation ,https://www.goodreads.com/book/show/34498.The_Truth,Stephen Briggs,4.25
Farseer Trilogy,https://www.goodreads.com/book/show/25300956-royal-assassin,Robin Hobb,4.25
The Chronicles of Prydain,https://www.goodreads.com/book/show/24781.The_High_King,Lloyd Alexander,4.24
Six Crimson Cranes,https://www.goodreads.com/book/show/53457092-six-crimson-cranes,Elizabeth Lim,4.24
Lux,https://www.goodreads.com/book/show/13047090-onyx,Jennifer L. Armentrout,4.24
Piranesi ,https://www.goodreads.com/book/show/50202953-piranesi,Susanna Clarke,4.24
Where the Wild Things Are ,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Maurice Sendak,4.24
The Broken Empire,https://www.goodreads.com/book/show/15985373-emperor-of-thorns,Mark Lawrence,4.24
Lockwood & Co.,https://www.goodreads.com/book/show/13555073-the-screaming-staircase,Jonathan Stroud,4.24
The Legends of the First Empire,https://www.goodreads.com/book/show/26863057-age-of-myth,Michael J. Sullivan,4.23
Ready Player One,https://www.goodreads.com/book/show/9969571-ready-player-one,Ernest Cline,4.23
Hitchhiker's Guide to the Galaxy,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,4.23
The BFG ,https://www.goodreads.com/book/show/6319.The_BFG,Roald Dahl,4.23
Villains,https://www.goodreads.com/book/show/40874032-vicious,V.E. Schwab,4.23
The Iron Druid Chronicles,https://www.goodreads.com/book/show/9595650-hexed,Kevin Hearne,4.22
Ascendance,https://www.goodreads.com/book/show/12432220-the-false-prince,Jennifer A. Nielsen,4.22
Green Rider,https://www.goodreads.com/book/show/147844.First_Rider_s_Call,Kristen Britain,4.22
The Last Herald-Mage #2),https://www.goodreads.com/book/show/28760.Magic_s_Promise,Mercedes Lackey,4.22
Pern,https://www.goodreads.com/book/show/465904.Dragonsdawn,Anne McCaffrey,4.22
The Winner's Trilogy,https://www.goodreads.com/book/show/20443235-the-winner-s-kiss,Marie Rutkoski,4.22
Blacktongue,https://www.goodreads.com/book/show/55077697-the-blacktongue-thief,Christopher Buehlman,4.22
The Tales of Dunk and Egg,https://www.goodreads.com/book/show/18635622-a-knight-of-the-seven-kingdoms,George R.R. Martin,4.22
Damar,https://www.goodreads.com/book/show/77366.The_Hero_and_the_Crown,Robin McKinley,4.21
Imriel's Trilogy,https://www.goodreads.com/book/show/153007.Kushiel_s_Scion,Jacqueline Carey,4.21
The Last Herald-Mage,https://www.goodreads.com/book/show/28759.Magic_s_Pawn,Mercedes Lackey,4.21
Demon Cycle,https://www.goodreads.com/book/show/9268487-the-daylight-war,Peter V. Brett,4.21
Best Served Cold ,https://www.goodreads.com/book/show/2315892.Best_Served_Cold,Joe Abercrombie,4.21
Kaikeyi ,https://www.goodreads.com/book/show/57127277-kaikeyi,Vaishnavi Patel,4.21
The Remnant Chronicles,https://www.goodreads.com/book/show/21569527-the-heart-of-betrayal,Mary E. Pearson,4.21
Caraval,https://www.goodreads.com/book/show/36329818-legendary,Stephanie Garber,4.21
Between Earth and Sky,https://www.goodreads.com/book/show/50892360-black-sun,Rebecca Roanhorse,4.21
Spinning Silver ,https://www.goodreads.com/book/show/36896898-spinning-silver,Naomi Novik,4.21
The Invisible Life of Addie LaRue ,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,V.E. Schwab,4.21
Circle of Magic,https://www.goodreads.com/book/show/58893.Briar_s_Book,Tamora Pierce,4.2
All Souls,https://www.goodreads.com/book/show/16054217-the-book-of-life,Deborah Harkness,4.2
Forgotten Realms: Legacy of the Drow,https://www.goodreads.com/book/show/227454.The_Legacy,R.A. Salvatore,4.2
The Founders Trilogy,https://www.goodreads.com/book/show/37173847-foundryside,Robert Jackson Bennett,4.2
Alex Stern,https://www.goodreads.com/book/show/60652997-hell-bent,Leigh Bardugo,4.2
The Plated Prisoner,https://www.goodreads.com/book/show/56530123-glint,Raven Kennedy,4.2
The Fionavar Tapestry,https://www.goodreads.com/book/show/290628.The_Darkest_Road,Guy Gavriel Kay,4.2
The Bird and the Sword Chronicles,https://www.goodreads.com/book/show/29008738-the-bird-and-the-sword,Amy Harmon,4.2
Shattered Sea,https://www.goodreads.com/book/show/22055283-half-the-world,Joe Abercrombie,4.2
The Iron Fey,https://www.goodreads.com/book/show/8685612-the-iron-queen,Julie Kagawa,4.2
Bloodlines,https://www.goodreads.com/book/show/8709527-bloodlines,Richelle Mead,4.2
Rivers of London,https://www.goodreads.com/book/show/20499240-foxglove-summer,Ben Aaronovitch,4.2
Edelstein-Trilogie,https://www.goodreads.com/book/show/7544603-smaragdgr-n,Kerstin Gier,4.2
Memory,https://www.goodreads.com/book/show/28691.To_Green_Angel_Tower,Tad Williams,4.19
The Belgariad #5),https://www.goodreads.com/book/show/44687.Enchanters_End_Game,David Eddings,4.19
The Phantom Tollbooth ,https://www.goodreads.com/book/show/378.The_Phantom_Tollbooth,Norton Juster,4.19
Nettle & Bone ,https://www.goodreads.com/book/show/56179377-nettle-bone,T. Kingfisher,4.19
Elantris,https://www.goodreads.com/book/show/68427.Elantris,Brandon Sanderson,4.19
Charlotte's Web ,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,E.B. White,4.19
Simon Snow,https://www.goodreads.com/book/show/32768522-carry-on,Rainbow Rowell,4.19
The Dark Elements,https://www.goodreads.com/book/show/42246377-white-hot-kiss,Jennifer L. Armentrout,4.19
Dragonlance: Legends,https://www.goodreads.com/book/show/260025.Test_of_the_Twins,Margaret Weis,4.19
Heralds of Valdemar,https://www.goodreads.com/book/show/14014.Arrow_s_Fall,Mercedes Lackey,4.19
Pern: Dragonriders of Pern,https://www.goodreads.com/book/show/127586.The_White_Dragon,Anne McCaffrey,4.19
The Very Secret Society of Irregular Witches ,https://www.goodreads.com/book/show/60018635-the-very-secret-society-of-irregular-witches,Sangu Mandanna,4.19
The Cinder Spires,https://www.goodreads.com/book/show/24876258-the-aeronaut-s-windlass,Jim Butcher,4.18
Fantastic Beasts: The Original Screenplay,https://www.goodreads.com/book/show/29363501-fantastic-beasts-and-where-to-find-them,J.K. Rowling,4.18
Kingdom of the Wicked,https://www.goodreads.com/book/show/52772417-kingdom-of-the-cursed,Kerri Maniscalco,4.18
The Neverending Story ,https://www.goodreads.com/book/show/27712.The_Neverending_Story,Michael Ende,4.18
Reckoners,https://www.goodreads.com/book/show/15704486-calamity,Brandon Sanderson,4.18
Skulduggery Pleasant,https://www.goodreads.com/book/show/284440.Skulduggery_Pleasant,Derek Landy,4.18
Earthsea Cycle,https://www.goodreads.com/book/show/13658.The_Other_Wind,Ursula K. Le Guin,4.18
New Crobuzon,https://www.goodreads.com/book/show/68497.The_Scar,China MiĂ©ville,4.18
World of the Five Gods,https://www.goodreads.com/book/show/61904.Paladin_of_Souls,Lois McMaster Bujold,4.18
Defy the Night,https://www.goodreads.com/book/show/50022883-defy-the-night,Brigid Kemmerer,4.18
Forgotten Realms: Icewind Dale,https://www.goodreads.com/book/show/68396.The_Halfling_s_Gem,R.A. Salvatore,4.18
The Belgariad #4),https://www.goodreads.com/book/show/645023.Castle_of_Wizardry,David Eddings,4.17
Amulet,https://www.goodreads.com/book/show/1238684.The_Stonekeeper,Kazu Kibuishi,4.17
Fire and Thorns,https://www.goodreads.com/book/show/10816908-the-crown-of-embers,Rae Carson,4.17
London Below,https://www.goodreads.com/book/show/14497.Neverwhere,Neil Gaiman,4.17
Under the Whispering Door ,https://www.goodreads.com/book/show/53205888-under-the-whispering-door,T.J. Klune,4.17
The Burning Kingdoms,https://www.goodreads.com/book/show/50523477-the-jasmine-throne,Tasha Suri,4.17
"Saga, Volume 1 ",https://www.goodreads.com/book/show/15704307-saga-volume-1,Brian K. Vaughan,4.17
Wayward Children,https://www.goodreads.com/book/show/38244358-in-an-absent-dream,Seanan McGuire,4.17
The Witches ,https://www.goodreads.com/book/show/6327.The_Witches,Roald Dahl,4.17
Rain Wild Chronicles,https://www.goodreads.com/book/show/13109291-blood-of-dragons,Robin Hobb,4.17
Redwall,https://www.goodreads.com/book/show/201345.Martin_the_Warrior,Brian Jacques,4.16
Under Heaven,https://www.goodreads.com/book/show/7139892-under-heaven,Guy Gavriel Kay,4.16
Artemis Fowl,https://www.goodreads.com/book/show/9307674-the-last-guardian,Eoin Colfer,4.16
Rats of NIMH,https://www.goodreads.com/book/show/9822.Mrs_Frisby_and_the_Rats_of_NIMH,Robert C. O'Brien,4.16
The Darkest Minds,https://www.goodreads.com/book/show/10576365-the-darkest-minds,Alexandra Bracken,4.16
The Selection,https://www.goodreads.com/book/show/18635016-the-one,Kiera Cass,4.16
Legend,https://www.goodreads.com/book/show/9275658-legend,Marie Lu,4.16
Nimona ,https://www.goodreads.com/book/show/19351043-nimona,N.D. Stevenson,4.16
Cradle,https://www.goodreads.com/book/show/30558257-unsouled,Will Wight,4.16
The Last Unicorn,https://www.goodreads.com/book/show/29127.The_Last_Unicorn,Peter S. Beagle,4.16
This Poison Heart,https://www.goodreads.com/book/show/54860241-this-poison-heart,Kalynn Bayron,4.16
Black Dagger Brotherhood,https://www.goodreads.com/book/show/42899.Dark_Lover,J.R. Ward,4.16
The Belgariad,https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy,David Eddings,4.16
A Wizardâ€™s Guide to Defensive Baking ,https://www.goodreads.com/book/show/54369251-a-wizard-s-guide-to-defensive-baking,T. Kingfisher,4.16
Innkeeper Chronicles,https://www.goodreads.com/book/show/19090384-clean-sweep,Ilona Andrews,4.16
